http://www.eledia.ru/publ/4-1-0-133,raz,Альвеолярная пиорея
http://www.eledia.ru/publ/7-1-0-186,raz,"Аменорея, олигоменорея"
http://www.eledia.ru/publ/9-1-0-117,raz,"Ангина, тонзилит"
http://www.eledia.ru/publ/12-1-0-250,raz,Ангионевротический отек (отек Квинке)
http://www.eledia.ru/publ/2-1-0-1,raz,Анемия
http://www.eledia.ru/publ/2-1-0-236,raz,Анемия мозга
http://www.eledia.ru/publ/6-1-0-175,raz,Анурия
http://www.eledia.ru/publ/5-1-0-151,raz,АППЕНДИЦИТ
http://www.eledia.ru/publ/2-1-0-285,raz,Аритмия
http://www.eledia.ru/publ/13-1-0-259,raz,Артрит
http://www.eledia.ru/publ/6-1-0-184,raz,Аспермия
http://www.eledia.ru/publ/5-1-0-150,raz,Асцит
http://www.eledia.ru/publ/2-1-0-2,raz,Атеросклероз
http://www.eledia.ru/publ/10-1-0-214,raz,Атрофия зрительного нерва
http://www.eledia.ru/publ/4-1-0-832,raz,Атрофия мышц области рта. Сухость полости рта и губ
http://www.eledia.ru/publ/12-1-0-241,raz,Афазия
http://www.eledia.ru/publ/12-1-0-252,raz,"Беспокойство, раздражительность. страх"
http://www.eledia.ru/publ/12-1-0-245,raz,"Бессонница, сонливость"
http://www.eledia.ru/publ/10-1-0-207,raz,Блефарит
http://www.eledia.ru/publ/5-1-0-141,raz,Болезни пищевода
http://www.eledia.ru/publ/13-1-0-821,raz,"Боли в лучезапястном суставе, кисти и пальцах"
http://www.eledia.ru/publ/13-1-0-822,raz,Боль в коленном суставе
http://www.eledia.ru/publ/6-1-0-181,raz,Боль в области полового члена
http://www.eledia.ru/publ/3-1-0-115,raz,Бронхиальная астма
http://www.eledia.ru/publ/3-1-0-13,raz,Бронхит
http://www.eledia.ru/publ/9-1-0-126,raz,Вазомоторный ринит
http://www.eledia.ru/publ/2-1-0-11,raz,Варикозное расширение вен
http://www.eledia.ru/publ/7-1-0-195,raz,"Воспаление яичников, бели"
http://www.eledia.ru/publ/7-1-0-192,raz,Вульвит
http://www.eledia.ru/publ/14-1-0-267,raz,"Выпадение волос и бровей, плешивость"
http://www.eledia.ru/publ/9-1-0-128,raz,Гайморит и фронтит
http://www.eledia.ru/publ/5-1-0-588,raz,Гастрит
http://www.eledia.ru/publ/5-1-0-154,raz,Геморрой
http://www.eledia.ru/publ/14-1-0-247,raz,"Гипергидроз верхних конечностей, общая потливость"
http://www.eledia.ru/publ/14-1-0-248,raz,Гипергидроз нижних конечностей
http://www.eledia.ru/publ/10-1-0-216,raz,Гиперемия глаз
http://www.eledia.ru/publ/13-1-0-824,raz,Гиперемия стоп и ладоней
http://www.eledia.ru/publ/7-1-0-187,raz,Гиперменорея
http://www.eledia.ru/publ/2-1-0-7,raz,Гипертоническая болезнь и гипотония
http://www.eledia.ru/publ/7-1-0-202,raz,Гипогалактия
http://www.eledia.ru/publ/10-1-0-210,raz,Глаукома
http://www.eledia.ru/publ/4-1-0-135,raz,Глосситы
http://www.eledia.ru/publ/12-1-0-251,raz,Головокружение
http://www.eledia.ru/publ/6-1-0-178,raz,Гонорея
http://www.eledia.ru/publ/11-1-0-228,raz,"Грудной радикулит, межреберная невралгия"
http://www.eledia.ru/publ/6-1-0-831,raz,"Грыжа мошоночная, паховая, бедренная"
http://www.eledia.ru/publ/12-1-0-253,raz,Депрессия. упадок настроения
http://www.eledia.ru/publ/11-1-0-813,raz,Детский церебральный паралич (ДЦП)
http://www.eledia.ru/publ/5-1-0-149,raz,Желудочное кровотечение
http://www.eledia.ru/publ/15-1-0-277,raz,Закрытые травмы головного мозга
http://www.eledia.ru/publ/5-1-0-146,raz,Запор
http://www.eledia.ru/publ/9-1-0-834,raz,Затруднённое дыхание через нос
http://www.eledia.ru/publ/4-1-0-131,raz,Зубная боль
http://www.eledia.ru/publ/14-1-0-844,raz,Зудящие сыпи. Диатез
http://www.eledia.ru/publ/12-1-0-243,raz,Икота
http://www.eledia.ru/publ/6-1-0-829,raz,Импотенция. Поллюция
http://www.eledia.ru/publ/10-1-0-211,raz,"Ирит, катаракта"
http://www.eledia.ru/publ/12-1-0-239,raz,Истерия
http://www.eledia.ru/publ/6-1-0-828,raz,Капающее мочеиспускание
http://www.eledia.ru/publ/3-1-0-116,raz,Кашель
http://www.eledia.ru/publ/10-1-0-208,raz,Кератит
http://www.eledia.ru/publ/5-1-0-148,raz,Кишечное кровотечение
http://www.eledia.ru/publ/7-1-0-189,raz,Климакс
http://www.eledia.ru/publ/14-1-0-263,raz,Кожный зуд
http://www.eledia.ru/publ/3-1-0-272,raz,Коклюш
http://www.eledia.ru/publ/7-1-0-194,raz,Кольпит (вагинит)
http://www.eledia.ru/publ/15-1-0-282,raz,Контузия и коммоция
http://www.eledia.ru/publ/10-1-0-209,raz,Коньюктивит
http://www.eledia.ru/publ/2-1-0-220,raz,Кровоизлияние в мозг
http://www.eledia.ru/publ/10-1-0-215,raz,Кровоизлияние в сетчатку
http://www.eledia.ru/publ/9-1-0-125,raz,Кровотечение из носа
http://www.eledia.ru/publ/9-1-0-838,raz,Кровотечение из уха
http://www.eledia.ru/publ/3-1-0-124,raz,Кровохарканье
http://www.eledia.ru/publ/10-1-0-213,raz,Куриная слепота
http://www.eledia.ru/publ/10-1-0-212,raz,Лейкома
http://www.eledia.ru/publ/15-1-0-254,raz,Лечение Алкоголизма
http://www.eledia.ru/publ/2-1-0-9,raz,Лимфаденит
http://www.eledia.ru/publ/12-1-0-240,raz,Логоневроз (заикание)
http://www.eledia.ru/publ/12-1-0-817,raz,Маниакальное состояние
http://www.eledia.ru/publ/7-1-0-190,raz,Мастит
http://www.eledia.ru/publ/10-1-0-841,raz,Мелькание в глазах
http://www.eledia.ru/publ/7-1-0-188,raz,"Меноррагия, нарушение менструального цикла, дисменорея"
http://www.eledia.ru/publ/9-1-0-204,raz,Меньеровский синдром
http://www.eledia.ru/publ/5-1-0-591,raz,Метеоризм
http://www.eledia.ru/publ/12-1-0-249,raz,Мигрень
http://www.eledia.ru/publ/13-1-0-256,raz,"Миозит, миалгия"
http://www.eledia.ru/publ/10-1-0-840,raz,Миопия
http://www.eledia.ru/publ/13-1-0-257,raz,Нарушение двигательной и чувствительной функций конечностей
http://www.eledia.ru/publ/11-1-0-229,raz,Невралгия затылочного нерва
http://www.eledia.ru/publ/11-1-0-233,raz,Невралгия кожных покровов бедра и голени
http://www.eledia.ru/publ/11-1-0-227,raz,Невралгия тройничного нерва
http://www.eledia.ru/publ/12-1-0-237,raz,Неврастения
http://www.eledia.ru/publ/9-1-0-837,raz,Неврит слухового нерва
http://www.eledia.ru/publ/12-1-0-3,raz,Невроз сердца
